stem,model_psnr,model_ssim,model_lpips,baseline_psnr,baseline_ssim,baseline_lpips
000006,28.314213752746582,0.6874830722808838,0.30778199434280396,26.48524045944214,0.597217321395874,0.43468964099884033
000020,32.03753709793091,0.8658219575881958,0.37145161628723145,22.72902011871338,0.4004976153373718,0.5288302898406982
000044,19.58881139755249,0.7444607019424438,0.18387050926685333,18.886704444885254,0.6660001277923584,0.279765248298645
000065,27.033610343933105,0.7285212278366089,0.25586560368537903,23.043627738952637,0.5245745778083801,0.43901342153549194
000072,25.288329124450684,0.7423766851425171,0.250635027885437,22.968289852142334,0.7146623730659485,0.2392147183418274
000094,33.16814184188843,0.8535141944885254,0.28691038489341736,28.79026174545288,0.7130424380302429,0.28287994861602783
000096,20.2531099319458,0.6660451889038086,0.34103909134864807,18.94427180290222,0.6150833368301392,0.38009023666381836
000108,18.43005657196045,0.630918025970459,0.3127214312553406,18.004374504089355,0.6067687273025513,0.39105191826820374
000114,31.3643741607666,0.7838802337646484,0.4462442398071289,21.602323055267334,0.35434356331825256,0.5400235652923584
000123,30.07823944091797,0.9171963930130005,0.1188071221113205,24.484851360321045,0.7086308002471924,0.32799193263053894
000130,23.687329292297363,0.7929445505142212,0.2707734704017639,22.430341243743896,0.7626689076423645,0.2998550832271576
000141,23.73903751373291,0.8329957723617554,0.16021332144737244,21.26049518585205,0.6576722860336304,0.39919987320899963
000169,32.908456325531006,0.8196983337402344,0.4165070652961731,21.46678924560547,0.2552175521850586,0.5989908576011658
000172,28.225042819976807,0.5616149306297302,0.5217826962471008,18.826003074645996,0.21894657611846924,0.6502892971038818
000176,24.0966534614563,0.7081009149551392,0.24379999935626984,22.242658138275146,0.5695662498474121,0.46152400970458984
000181,28.498144149780273,0.7591349482536316,0.2088426947593689,25.742011070251465,0.6736226677894592,0.29390421509742737
000186,31.33296489715576,0.8954927325248718,0.17327240109443665,26.89635992050171,0.7800836563110352,0.26474446058273315
000191,24.975383281707764,0.7621600031852722,0.20420917868614197,23.215913772583008,0.6686055064201355,0.2957592010498047
000207,21.520156860351562,0.7217586040496826,0.2744894325733185,20.29148817062378,0.6415587663650513,0.40621626377105713
000224,24.54296588897705,0.47235721349716187,0.5617390871047974,21.665782928466797,0.43240848183631897,0.5123895406723022
000253,29.610509872436523,0.8713154792785645,0.2372605800628662,20.595037937164307,0.26101797819137573,0.6037037372589111
000258,20.797042846679688,0.7401444911956787,0.22032231092453003,19.820934534072876,0.694298505783081,0.28296178579330444
000265,32.28123664855957,0.8779308795928955,0.2155582308769226,27.953097820281982,0.6697602272033691,0.3164442777633667
000268,33.571977615356445,0.902285099029541,0.22235864400863647,21.328153610229492,0.3548193871974945,0.5288935899734497
000272,20.1548171043396,0.7372009754180908,0.2911560833454132,18.351184129714966,0.5759418606758118,0.35922932624816895
000287,31.59445285797119,0.7818145751953125,0.25915729999542236,27.94175148010254,0.6314879655838013,0.3510977625846863
000290,22.699804306030273,0.663995087146759,0.25775134563446045,21.386656761169434,0.616184413433075,0.37894773483276367
000296,24.534480571746826,0.7377623915672302,0.25154826045036316,22.928664684295654,0.6786015033721924,0.28061923384666443
000316,33.603715896606445,0.9182063341140747,0.28798431158065796,21.874279975891113,0.22555479407310486,0.7405091524124146
000325,31.07865333557129,0.9177873134613037,0.11279699951410294,28.53445291519165,0.8405635952949524,0.2257973849773407
000332,33.726327419281006,0.9465264678001404,0.07263876497745514,27.537009716033936,0.7906367182731628,0.32543623447418213
000339,34.676830768585205,0.9249774813652039,0.23399874567985535,26.55351161956787,0.6237349510192871,0.4251776337623596
000345,27.565414905548096,0.8010897040367126,0.20914286375045776,23.204126358032227,0.6725023984909058,0.28308072686195374
000359,28.165879249572754,0.8055076003074646,0.23752957582473755,26.760311126708984,0.7355701923370361,0.30004552006721497
000382,26.038434505462646,0.47201845049858093,0.812493622303009,22.379367351531982,0.38177692890167236,0.6911303997039795
000395,34.60038423538208,0.8706806898117065,0.4552760422229767,21.824586391448975,0.2748050093650818,0.6218852996826172
000397,25.277233123779297,0.3710119128227234,0.7555498480796814,18.64111065864563,0.2020571082830429,0.6145004630088806
000398,22.245159149169922,0.2628990709781647,0.8322489857673645,17.93697714805603,0.2288273423910141,0.687023401260376
000416,29.375710487365723,0.8818702101707458,0.20185443758964539,23.63128900527954,0.6675025224685669,0.3585110902786255
000418,28.0904221534729,0.5217963457107544,0.29806143045425415,23.365201950073242,0.39301323890686035,0.6259409189224243
000424,29.064311981201172,0.8170164823532104,0.24642547965049744,21.699185371398926,0.3895011246204376,0.5901784896850586
000428,27.761616706848145,0.875151515007019,0.13395202159881592,25.59053897857666,0.8256855607032776,0.16984710097312927
000435,31.086277961730957,0.7887356281280518,0.30962321162223816,28.403165340423584,0.7184735536575317,0.29063302278518677
000449,32.32374668121338,0.8651533126831055,0.4861564636230469,26.536195278167725,0.67778480052948,0.32916635274887085
000458,23.868608474731445,0.6763169765472412,0.2891146242618561,22.34910249710083,0.6001138687133789,0.37359291315078735
000459,23.98319721221924,0.6791715621948242,0.32855623960494995,22.44818925857544,0.6099578142166138,0.38159996271133423
000468,20.16679286956787,0.5362536311149597,0.4700765311717987,18.187133073806763,0.35724449157714844,0.5581076145172119
000483,30.71726083755493,0.8059353828430176,0.4111033082008362,21.442599296569824,0.4158063530921936,0.5068602561950684
000485,35.0382137298584,0.8751565217971802,0.20464658737182617,20.076603889465332,0.20924372971057892,0.7217540740966797
000495,24.29340362548828,0.3685069680213928,0.43706637620925903,21.10161066055298,0.3100133538246155,0.7784303426742554
000500,25.543341636657715,0.644594669342041,0.27854639291763306,20.64141273498535,0.4171701669692993,0.5400968790054321
000503,26.242661476135254,0.6760953664779663,0.3118368089199066,21.364002227783203,0.4623059630393982,0.4673716723918915
000511,24.226090908050537,0.6791505813598633,0.2668299973011017,23.54252338409424,0.6526416540145874,0.36330634355545044
000531,22.052526473999023,0.7436718940734863,0.2926114797592163,19.429510831832886,0.41123947501182556,0.6194899082183838
000540,27.123918533325195,0.7314531803131104,0.36417755484580994,20.867977142333984,0.36784815788269043,0.5017788410186768
000566,22.127490043640137,0.5514926910400391,0.30755478143692017,19.37839388847351,0.46820271015167236,0.3653876781463623
000578,23.67767333984375,0.8235830664634705,0.281819224357605,19.064102172851562,0.3779650926589966,0.5544552803039551
000595,23.42644214630127,0.7630264759063721,0.21159258484840393,21.25056743621826,0.6300456523895264,0.36353209614753723
000605,23.200340270996094,0.8515000343322754,0.1688426285982132,20.69662570953369,0.5837308168411255,0.4173499345779419
000615,25.192480087280273,0.7957321405410767,0.25361961126327515,24.414677619934082,0.7500147819519043,0.30753791332244873
000618,27.199501991271973,0.685142993927002,0.34931203722953796,23.150451183319092,0.5087319612503052,0.43146416544914246
000620,28.80718231201172,0.80841064453125,0.20369260013103485,22.519454956054688,0.5194156169891357,0.40830785036087036
000639,26.660802364349365,0.7826170921325684,0.22881406545639038,24.25614833831787,0.6998529434204102,0.28278541564941406
000641,20.348999500274658,0.4253764748573303,0.39309772849082947,18.77384305000305,0.4102107882499695,0.646625816822052
000667,33.11704397201538,0.9814168214797974,0.05005309730768204,32.28412866592407,0.9572000503540039,0.11456148326396942
000682,28.171327114105225,0.8933504819869995,0.12064521014690399,23.147249221801758,0.6788703203201294,0.362893283367157
000687,29.483449459075928,0.852029025554657,0.2876291275024414,21.385643482208252,0.3812386393547058,0.5225291848182678
000694,28.387038707733154,0.8860518932342529,0.1615140438079834,25.65040111541748,0.7660760879516602,0.3388196527957916
000706,20.615756511688232,0.3259887099266052,0.4191330075263977,19.091219902038574,0.2787257730960846,0.8260585069656372
000720,23.550491333007812,0.7614699602127075,0.2515127956867218,22.522659301757812,0.7293325662612915,0.28884556889533997
000721,27.581112384796143,0.9000717401504517,0.11534173041582108,25.00476837158203,0.8333364725112915,0.20109307765960693
000735,24.42330837249756,0.4991276264190674,0.4187329411506653,19.343688488006592,0.31367379426956177,0.5505867004394531
000758,34.389004707336426,0.891036868095398,0.2818693518638611,25.508694648742676,0.6768618822097778,0.2575632929801941
000761,23.660495281219482,0.3768392503261566,0.41916754841804504,20.92299461364746,0.3371555209159851,0.7682614922523499
000766,28.27864646911621,0.818440318107605,0.31386566162109375,24.72416400909424,0.7077281475067139,0.2809394299983978
000767,28.78936529159546,0.8204251527786255,0.32786089181900024,24.622833728790283,0.7037216424942017,0.295747309923172
000768,22.43231773376465,0.7665513157844543,0.2501947581768036,20.899629592895508,0.6697916388511658,0.32674697041511536
000776,22.649896144866943,0.8346896171569824,0.22490505874156952,19.2190945148468,0.4747718870639801,0.5186213254928589
000778,22.57420778274536,0.567894458770752,0.287371963262558,19.35793399810791,0.4190065264701843,0.5110063552856445
000782,30.815632343292236,0.7806634306907654,0.6806694269180298,23.875982761383057,0.46754634380340576,0.4670368432998657
